window_ts,unit_parent_number,uat_event_ts,prod_event_ts,uat_delay,prod_delay,delay_improvement
2023-10-07 11:45:00.000000 UTC,621369,2023-10-07 11:54:34.146440 UTC,2023-10-07 12:36:30.906307 UTC,574,3090,0
2023-10-07 18:30:00.000000 UTC,621384,2023-10-07 18:34:39.631394 UTC,2023-10-07 18:56:38.985912 UTC,279,1598,0
2023-10-07 00:50:00.000000 UTC,620898,2023-10-07 00:54:53.527183 UTC,2023-10-07 01:06:43.063101 UTC,293,1003,0
2023-10-07 01:05:00.000000 UTC,620898,2023-10-07 01:14:43.301008 UTC,2023-10-07 01:26:41.621558 UTC,583,1301,0
2023-10-07 01:00:00.000000 UTC,620898,2023-10-07 01:05:00.243779 UTC,2023-10-07 01:56:50.748549 UTC,300,3410,0
2023-10-07 00:55:00.000000 UTC,620898,2023-10-07 01:05:00.243779 UTC,2023-10-07 01:06:43.063101 UTC,600,703,0
2023-10-07 19:40:00.000000 UTC,621248,2023-10-07 19:44:51.470283 UTC,2023-10-07 20:06:37.757831 UTC,291,1597,0
2023-10-07 19:30:00.000000 UTC,621248,2023-10-07 19:34:39.448682 UTC,2023-10-07 20:26:36.905638 UTC,279,3396,0
2023-10-07 19:25:00.000000 UTC,621248,2023-10-07 19:34:39.448682 UTC,2023-10-07 20:06:37.757831 UTC,579,2497,0
2023-10-07 17:45:00.000000 UTC,621227,2023-10-07 17:54:42.396549 UTC,2023-10-07 18:36:42.531950 UTC,582,3102,0
2023-10-07 17:50:00.000000 UTC,621227,2023-10-07 17:54:42.396549 UTC,2023-10-07 18:06:45.039618 UTC,282,1005,0
2023-10-07 17:55:00.000000 UTC,621227,2023-10-07 18:04:41.258731 UTC,2023-10-07 18:36:42.531950 UTC,581,2502,0
2023-10-09 00:55:00.000000 UTC,182110,2023-10-09 01:05:01.369262 UTC,2023-10-09 01:06:48.889508 UTC,601,708,0
2023-10-09 00:00:00.000000 UTC,182110,2023-10-09 00:04:47.393871 UTC,2023-10-09 00:36:50.995797 UTC,287,2210,0
2023-10-09 02:25:00.000000 UTC,182110,2023-10-09 02:35:13.891529 UTC,2023-10-09 03:06:31.261241 UTC,613,2491,0
2023-10-09 05:35:00.000000 UTC,621254,2023-10-09 05:44:31.213546 UTC,2023-10-09 06:06:37.103671 UTC,571,1897,0
2023-10-09 05:50:00.000000 UTC,621254,2023-10-09 05:54:29.779041 UTC,2023-10-09 06:16:30.342913 UTC,269,1590,0
2023-10-09 05:40:00.000000 UTC,621254,2023-10-09 05:44:31.213546 UTC,2023-10-09 05:56:27.535382 UTC,271,987,0
2023-10-09 05:20:00.000000 UTC,620301,2023-10-09 05:24:42.970215 UTC,2023-10-09 06:26:28.414253 UTC,282,3988,0
2023-10-09 05:10:00.000000 UTC,620301,2023-10-09 05:14:29.811510 UTC,2023-10-09 05:26:31.845159 UTC,269,991,0
2023-10-09 05:15:00.000000 UTC,620301,2023-10-09 05:24:42.970215 UTC,2023-10-09 06:06:37.103671 UTC,582,3097,0
2023-10-09 05:05:00.000000 UTC,620301,2023-10-09 05:14:29.811510 UTC,2023-10-09 05:46:19.102029 UTC,569,2479,0
2023-10-09 17:20:00.000000 UTC,620315,2023-10-09 17:24:50.217652 UTC,2023-10-09 17:46:28.567084 UTC,290,1588,0
2023-10-09 07:45:00.000000 UTC,620569,2023-10-09 07:54:33.091683 UTC,2023-10-09 08:26:44.171116 UTC,573,2504,0
